sample_id,BART_post_rouge1,T5large_post_rouge1,BART_post_rouge2,T5large_post_rouge2,BART_post_rougel,T5large_post_rougel,BART_post_bleu,T5large_post_bleu,BART_post_meteor,T5large_post_meteor
42,0.48,0.42857142857142855,0.3835616438356165,0.14814814814814814,0.32,0.28571428571428575,0.18589156725031486,0.037776418604808376,0.5763187265037594,0.2987951807228915
43,0.5161290322580645,0.3209876543209877,0.30769230769230765,0.17721518987341775,0.45161290322580644,0.24691358024691357,0.1932222766511934,0.0661507607186886,0.4390267175572519,0.223240255962769
44,0.3,0.2898550724637681,0.1020408163265306,0.11940298507462685,0.16,0.2028985507246377,0.009193868999275986,0.0107801449228252,0.3013349038084021,0.1488
45,0.2647058823529412,0.2857142857142857,0.06060606060606061,0.06557377049180328,0.20588235294117643,0.15873015873015872,0.012705304373125515,0.008388487457231183,0.18096301020408162,0.12152777777777778
46,0.6410256410256411,0.5660377358490566,0.5526315789473684,0.39215686274509803,0.4102564102564103,0.49056603773584906,0.3338672631836167,0.2779037471879495,0.7868008314436886,0.47189135877399285
47,0.2051282051282051,0.303030303030303,0.0,0.0,0.10256410256410255,0.2727272727272727,0.005846046710803097,0.008388487457231183,0.10447761194029849,0.15432098765432098
48,0.2716049382716049,0.44210526315789467,0.05063291139240506,0.27956989247311825,0.1728395061728395,0.35789473684210527,0.02406853061875214,0.13336986497272746,0.2000979344729345,0.4928850605244185
49,0.5753424657534247,0.7777777777777778,0.4507042253521127,0.6153846153846153,0.5753424657534247,0.7777777777777778,0.2676968770041834,0.2881519150515533,0.7988802756244617,0.8727312403343482
50,0.2368421052631579,0.13114754098360656,0.05405405405405406,0.03389830508474576,0.15789473684210525,0.09836065573770492,0.012517970592156697,0.013671528942296604,0.1602503765060241,0.08036338225017471
51,0.4040404040404041,0.4615384615384615,0.22680412371134018,0.1764705882352941,0.3434343434343435,0.3269230769230769,0.1739934781943615,0.14224450821879644,0.24727626459143967,0.2967251002965289
52,0.28888888888888886,0.4545454545454546,0.11363636363636365,0.15625000000000003,0.22222222222222224,0.24242424242424243,0.03094541404865462,0.018432092390865892,0.25889598540145986,0.33930493413152346
53,0.3294117647058824,0.2962962962962963,0.16867469879518074,0.0759493670886076,0.2588235294117647,0.1728395061728395,0.01959168274759532,0.013365863767826365,0.22620100206307106,0.17037533512064343
54,0.29411764705882354,0.19607843137254902,0.12121212121212123,0.0,0.2058823529411765,0.11764705882352941,0.0613651675146949,0.010275474580767148,0.23554104477611942,0.099601593625498
55,0.21951219512195125,0.24242424242424243,0.05,0.0625,0.1951219512195122,0.21212121212121213,0.008608987765421757,0.011398615457120072,0.17439703153988867,0.18517059333385866
56,0.4631578947368421,0.18181818181818182,0.17204301075268816,0.0,0.27368421052631586,0.06818181818181818,0.03484913991633375,0.005511756761027533,0.2341170758773755,0.05694760820045557
57,0.4132231404958678,0.46,0.16806722689075632,0.24489795918367346,0.21487603305785125,0.27999999999999997,0.02487408211381916,0.09660130805209133,0.2516678558031084,0.23130060728744947
